,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
4203,Slc25a27,0.3276550094492136,0.4942007497868651,0.9172091231680176,0.3060966000346049,0.03753163414072237
4204,Pla2g7,0.1901803424415204,0.6178258435339901,0.9514120449150344,0.2091339292015173,0.021631354695577143
4205,Mep1a,-0.2024963036133309,0.7334680074652035,0.9688701290351568,0.13461882453963409,0.01373443349970472
4206,Tnfrsf21,-0.4650732087835001,0.0584496337256979,0.5244516869087131,1.2332182059975505,0.28029451333385114
4208,Cenpq,-0.7191510887006332,0.1558152721811805,0.7317730057340964,0.807389977350518,0.1356236151786745
4209,Mmut,0.1109538905747724,0.6287391391428466,0.953887697743099,0.2015295038860271,0.02050275225750897
4210,Tbc1d5,-0.2343902672926937,0.339610380111102,0.8639366154003087,0.469019044116898,0.06351811931702048
4212,Satb1,-0.4738792334076577,0.1191760342874402,0.6791273921910501,0.9238110702934833,0.16804875217571885
4214,Efhb,-0.410327230635335,0.625242940994399,0.9530770619465522,0.2039512027633711,0.020871982651191397
4215,Cdc5l,0.1648588072707605,0.5170121971444537,0.92205694809592,0.2864992110839171,0.0352422552153071
4217,Aars2,-0.2145111749567491,0.6687322282600534,0.9580081636905622,0.17474774631074944,0.018630790054381705
4218,Mrpl14,0.6483231930782285,0.0283559659082326,0.369712614493065,1.547355554462599,0.4321357311654157
4219,Sgo1,-1.0383627196550569,0.0277319511705508,0.3656590566154463,1.5570195731631191,0.4369236655341312
4220,Slc29a1,-0.2340936437937009,0.4438962349842308,0.9008696265942449,0.35271853853513613,0.04533805535562132
4222,Hsp90ab1,0.0788427121316586,0.6676813072164565,0.9580081636905622,0.17543078235028822,0.018630790054381705
4223,Slc5a7,0.408649874610147,0.6291234184388119,0.953887697743099,0.20126414837173262,0.02050275225750897
4224,Nfkbie,-0.6148956174885373,0.0410073913007653,0.4463255860117331,1.387137857625905,0.35034821612786676
4226,Vegfa,-0.4172922521180242,0.2643735095800984,0.8248891352040463,0.5777820636325175,0.08360441654645037
4227,Gtpbp2,-0.3205387462642342,0.125308812073827,0.6857419733355764,0.9020183871026576,0.16383926714518834
4228,Polh,0.1124304524501433,0.7087607005905284,0.9645251224081928,0.14950037124212193,0.01568645606451444
4229,Clic5,0.3219215644628523,0.1864521367203797,0.7590296983944187,0.7294326353085573,0.11974123122377071
4230,Enpp5,0.5026195102054252,0.0241698609569838,0.3425098817767262,1.6167258479700233,0.4653268941301123
4231,Enpp4,0.3206016846790868,0.1294394507907217,0.692154388346292,0.8879333384316251,0.15979702327677345
4232,Cyp39a1,0.0501882104641131,0.8782467147680246,0.988563685762658,0.05638346608565181,0.004995347104615504
4234,Fbxl17,-0.2618270165406606,0.242838177999789,0.8130918076541517,0.6146830342721826,0.08986041466850836
4235,Rsph9,-0.0323319870698333,0.9627445199392306,0.9965718817124076,0.016488944756050446,0.0014913706161115774
4236,Mrps18a,-0.0460832740223178,0.8770158993348229,0.98838499966022,0.0569925332807221,0.00507385434060513
4238,Rrp36,0.589776824060229,0.0736601432207847,0.5755882788940048,1.132767441061665,0.23988805848714365
4239,Ptk7,-0.1937632475485644,0.5999167430662322,0.9486251312549598,0.22190901717605582,0.022905374075062563
4240,Cnpy3,0.1618382050817871,0.5186784774059987,0.9227397421833816,0.2851017727076652,0.03492077402492576
4241,Ubr2,-0.3915524542653567,0.0484663352744745,0.4818339678493913,1.3145598177074915,0.3171025868002057
4244,Taf8,0.0749608897646656,0.7731453333026965,0.974786149675392,0.11173886116741732,0.011090650150303414
4246,Gm20517,-0.3123614882900707,0.6031688637019619,0.9489825123116924,0.21956108536016244,0.022741790603803966
4248,Bysl,0.082594707112146,0.7440894160366011,0.9699612514878772,0.12837487284396973,0.013245614807079416
4249,Tfeb,0.0500698066193329,0.8478505709258521,0.9860192517174138,0.07168068305084084,0.006114605512118086
4250,Foxp4,-0.913455517094784,0.2192197602247753,0.792578612280351,0.6591203016028396,0.10095765127251913
4251,Trem2,-1.8886125787443624,0.0139397370785489,0.2680705512050274,1.855745417515787,0.5717508926624758
4253,Nfya,-0.00107499954555,0.9957778736781228,0.9999260987320197,0.0018375280367148837,3.209609887532843e-05
4256,Brd4,-0.5877505921344033,0.0028529769514284,0.1025566691737123,2.5447017368980918,0.9890360925733788
4257,Stk38,-0.0721787544237346,0.7430805752369694,0.9699612514878772,0.1289640913760489,0.013245614807079416
4258,Ppil1,0.5568580514310618,0.1726987608944205,0.7464720572251109,0.762710778464077,0.12698644463027978
4260,Pi16,0.5667131747954088,0.2964456108157598,0.8455254773881691,0.5280549754509356,0.0728733017003107
4261,Mtch1,0.0551701264971666,0.8002069739820856,0.977624464115786,0.09679766796734597,0.009827939162124733
